eventDate,year,month,decimalLatitude,decimalLongitude,scientificName,individualCount,temperature,season,latitude_zone
1963-04-22,1963,4,69.87986634793532,-39.87368238952273,Candacia armata,-87.0,10.648583160711858,Spring,Subpolar
2000-03-09,2000,3,50.12074393540086,-78.90256761999198,Oithona similis,27.0,18.406545596736567,Winter,Temperate High
1963-01-29,1963,1,31.529528551037078,-52.678137376907145,Pseudocalanus elongatus,-31.0,18.380117854512875,Winter,Subtropical
1975-03-23,1975,3,66.5117988158822,-72.94375419553835,Oithona similis,-9.0,9.43427276616129,Winter,Subpolar
1971-10-21,1971,10,37.39598340144875,-54.60117039775413,Pseudocalanus elongatus,-11.0,11.889297585856362,Fall,Subtropical
2014-09-21,2014,9,60.991040247632704,-72.13313173344994,Calanus finmarchicus,-3.0,4.871257015403641,Summer,Subpolar
2007-01-01,2007,1,43.07527176311226,18.143970321938497,Pseudocalanus elongatus,39.0,15.205152624355929,Winter,Temperate Low
1986-09-03,1986,9,47.9338622056716,-0.3599340251981431,Candacia armata,39.0,9.284528746065646,Summer,Temperate Low
1985-06-08,1985,6,54.21035589392308,-44.94184797535838,Pseudocalanus elongatus,34.0,13.87903660362329,Spring,Temperate High
1968-09-18,1968,9,48.364224160113665,-20.792124834379607,Oithona similis,-6.0,6.48860362082931,Summer,Temperate Low
1966-05-30,1966,5,62.349518747064046,2.3442928599102117,Pseudocalanus elongatus,-12.0,11.739740325192603,Spring,Subpolar
1963-04-07,1963,4,60.35670408426121,-68.66528680656927,Oithona similis,-2.0,14.735389293409286,Spring,Subpolar
1988-02-21,1988,2,53.96084628156672,-4.511376698463721,Candacia armata,6.0,13.928496768680986,Winter,Temperate High
1971-07-25,1971,7,40.88238362872565,11.29161690773553,Metridia lucens,2.0,15.488290263614727,Summer,Temperate Low
2007-02-12,2007,2,57.19428432525342,15.714127600088759,Pseudocalanus elongatus,28.0,11.762044959642168,Winter,Temperate High
2004-10-12,2004,10,32.184510089503455,-17.11892723346358,Centropages typicus,-17.0,12.216156338874264,Fall,Subtropical
1968-12-08,1968,12,58.00384776650371,-77.29813085742943,Centropages typicus,8.0,5.871132073918553,Fall,Temperate High
2011-06-15,2011,6,61.85998862475971,-18.511308206855546,Pseudocalanus elongatus,-17.0,10.270871325021853,Spring,Subpolar
1979-06-30,1979,6,36.9677989208087,-71.89983171345067,Candacia armata,-45.0,18.194512784940432,Spring,Subtropical
1961-05-28,1961,5,49.88303944838346,12.25160279036352,Oithona similis,124.0,15.242750315155824,Spring,Temperate Low
1974-09-29,1974,9,59.430913544952716,-16.61820196608648,Pseudocalanus elongatus,3.0,4.946312857904118,Summer,Temperate High
